trial,endState,user,redirector,resetCount,virtualDistance,gtChangeMax,gcChangeMax,gtChangeAvg,gcChangeAvg
78,Normal,0,PredRedLPP,6,99.97617,2.600001,10,0.06836318,0.3942373
79,Normal,0,PredRedLPP,0,99.97145,1.399999,10,0.03821653,0.3375797
80,Normal,0,PredRedLPP,9,99.96678,2.600001,10,0.0514536,0.2986073
81,Normal,0,PredRedLPP,0,99.98279,1.399999,5,0.02143621,0.216404
82,Normal,0,PredRedLPP,3,99.98013,2.6,8.571428,0.04386838,0.3329062
83,Normal,0,PredRedLPP,7,99.98176,2.600001,10,0.04085237,0.3115025
84,Normal,0,PredRedLPP,13,99.98238,2.600001,10,0.0850706,0.507872
85,Normal,0,PredRedLPP,0,99.97227,0,0,0,0
86,Normal,0,PredRedLPP,0,99.97281,0,10,0,0.01082251
87,Normal,0,PredRedLPP,5,99.98148,2.600001,10,0.05236738,0.4123367
88,Normal,0,PredRedLPP,1,99.9707,2.6,10,0.04602507,0.3924088
89,Normal,0,PredRedLPP,6,99.9786,2.6,10,0.05380116,0.3450732
90,Normal,0,PredRedLPP,0,99.97933,1.199999,7.142858,0.003850265,0.1338426
90,Normal,1,PredRedLPP,0,100.0016,0,5,0,0.03529412
91,Normal,0,PredRedLPP,8,99.97903,3.428571,10,0.09461772,0.1791612
91,Normal,1,PredRedLPP,7,100.0027,3.800001,10,0.1387156,0.2733072
92,Normal,0,PredRedLPP,1,99.97926,2.6,6.666667,0.01140443,0.1043899
92,Normal,1,PredRedLPP,0,100.0022,2.228572,2.5,0.007673353,0.03565143
93,Normal,0,PredRedLPP,6,99.9994,2.857143,8.333334,0.07615519,0.2255291
93,Normal,1,PredRedLPP,7,99.98246,3.400001,7.666667,0.108642,0.1949295
94,Normal,0,PredRedLPP,3,99.97159,3.066667,8.571428,0.04104627,0.1730862
94,Normal,1,PredRedLPP,3,100.0034,4,10,0.04835679,0.1845358
95,Normal,0,PredRedLPP,3,100.0011,2.857143,8.333334,0.04966929,0.1844294
95,Normal,1,PredRedLPP,4,99.98215,3.099999,10,0.04880952,0.2187737
96,Normal,0,PredRedLPP,0,99.97872,1.399999,5,0.003030301,0.01298701
96,Normal,1,PredRedLPP,0,100.0025,0,0,0,0
97,Normal,0,PredRedLPP,1,99.98059,2.6,2.666667,0.01172708,0.03837954
97,Normal,1,PredRedLPP,1,100.0021,2.857143,10,0.01279318,0.09513655
98,Normal,0,PredRedLPP,0,100.0025,0,2,0,0.03352462
98,Normal,1,PredRedLPP,1,99.97543,2.6,10,0.01141649,0.1037954
99,Normal,0,PredRedLPP,0,100.001,2.600001,6.666667,0.01537542,0.09105838
99,Normal,1,PredRedLPP,1,99.9687,2.828571,10,0.03991638,0.2170474
100,Normal,0,PredRedLPP,5,99.97426,3.228571,10,0.09145629,0.2674526
100,Normal,1,PredRedLPP,4,100.0031,2.6,10,0.06129448,0.2381878
101,Normal,0,PredRedLPP,1,99.97185,3.228572,10,0.01802934,0.1154038
101,Normal,1,PredRedLPP,0,100.0025,0.999999,4.333333,0.005870018,0.05101327
102,Normal,0,PredRedLPP,5,100.0029,2.657144,9.428572,0.07532882,0.2276915
102,Normal,1,PredRedLPP,5,99.98281,3.800001,8.571428,0.0912232,0.2186627
103,Normal,0,PredRedLPP,5,99.99951,3.428572,10,0.06598957,0.2291694
103,Normal,1,PredRedLPP,7,99.98019,3.800001,10,0.06986764,0.1793519
104,Normal,0,PredRedLPP,0,100.0035,2.166667,6.857142,0.04474223,0.1093962
104,Normal,1,PredRedLPP,2,99.98444,3.428571,8.571428,0.02563574,0.1240059
105,Normal,0,PredRedLPP,0,99.97173,1.857144,8,0.003311736,0.1042889
105,Normal,1,PredRedLPP,0,100.0026,0,8.333334,0,0.04782474
106,Normal,0,PredRedLPP,4,99.97993,3.428572,8.571428,0.05765407,0.2022154
106,Normal,1,PredRedLPP,3,100.0014,2.666666,10,0.05407552,0.1979552
107,Normal,0,PredRedLPP,0,99.98114,0.933333,5.333333,0.003030301,0.06596579
107,Normal,1,PredRedLPP,0,99.99368,0,6.666667,0,0.0416409
108,Normal,0,PredRedLPP,0,99.98559,1.399999,8,0.003027025,0.07423422
108,Normal,1,PredRedLPP,0,100.0035,1.399999,6.857142,0.006054051,0.1320979
109,Normal,0,PredRedLPP,5,100.0019,4,10,0.06959228,0.2046152
109,Normal,1,PredRedLPP,7,99.98245,2.685714,10,0.09405541,0.2045263
110,Normal,0,PredRedLPP,0,99.97915,0,4,0,0.004282655
110,Normal,1,PredRedLPP,0,100.0027,0,10,0,0.01070664
111,Normal,0,PredRedLPP,7,100.0028,2.600001,8.571428,0.09012347,0.196605
111,Normal,1,PredRedLPP,8,99.97269,2.600001,10,0.08179015,0.2126543
112,Normal,0,PredRedLPP,0,100.0035,1.199999,7.142858,0.002935009,0.09254269
112,Normal,1,PredRedLPP,1,99.98264,2.6,8.333334,0.01788958,0.1406609
113,Normal,0,PredRedLPP,0,99.9711,2.600001,10,0.005579402,0.09963219
113,Normal,1,PredRedLPP,0,100.0054,0,8,0,0.0472103
114,Normal,0,PredRedLPP,0,99.97831,0.6,10,0.00131291,0.1118058
114,Normal,1,PredRedLPP,0,99.97965,0,2,0,0.04376368
115,Normal,0,PredRedLPP,7,99.97615,2.600001,10,0.1014304,0.2375534
115,Normal,1,PredRedLPP,5,100.0107,4,10,0.09695273,0.2347638
116,Normal,0,PredRedLPP,6,99.97834,3.3,10,0.09599998,0.333424
116,Normal,1,PredRedLPP,5,100.0023,3.099999,7.142858,0.04603174,0.2396826
117,Normal,0,PredRedLPP,8,99.9776,2.833334,10,0.08560961,0.251233
117,Normal,1,PredRedLPP,7,100.0035,3.766667,10,0.1214177,0.2531973
118,Normal,0,PredRedLPP,6,100.0019,4,10,0.06016561,0.2536471
118,Normal,1,PredRedLPP,8,99.98414,3.800001,10,0.101012,0.3555876
119,Normal,0,PredRedLPP,6,99.97253,4,10,0.06150456,0.2210082
119,Normal,1,PredRedLPP,5,100.0004,3.400001,10,0.1041863,0.3024867
120,Normal,0,PredRedLPP,4,99.97742,3.333332,6.666667,0.04453123,0.2871559
120,Normal,1,PredRedLPP,2,99.99855,1.399999,10,0.0332031,0.2676248
121,Normal,0,PredRedLPP,8,99.98192,3.333334,10,0.0955649,0.2570665
121,Normal,1,PredRedLPP,7,99.99924,2.857143,10,0.1041423,0.2728546
122,Normal,0,PredRedLPP,0,99.97338,1.199999,8.571428,0.009090906,0.197949
122,Normal,1,PredRedLPP,0,100.0033,0,4,0,0.1190477
123,Normal,0,PredRedLPP,3,99.96857,3.333334,8.571428,0.04499928,0.2383317
123,Normal,1,PredRedLPP,1,99.99957,1.399999,8.428572,0.0517709,0.2450467
124,Normal,0,PredRedLPP,0,99.99699,0.6999999,4,0.002981894,0.133881
124,Normal,1,PredRedLPP,1,99.97414,2.6,8,0.04117852,0.2190274
125,Normal,0,PredRedLPP,6,99.97457,3.228572,8.333334,0.08994706,0.2827798
125,Normal,1,PredRedLPP,4,99.99885,1.857144,6.999999,0.05633362,0.2590815
126,Normal,0,PredRedLPP,1,100.0038,2.6,7.142858,0.03665657,0.2156525
126,Normal,1,PredRedLPP,3,99.97021,2.6,8.571428,0.03833499,0.2065411
127,Normal,0,PredRedLPP,0,99.9833,1.399999,3,0.06838892,0.2497104
