-55.70943, 94.32206
-55.70943, 94.32205
-55.70943, 94.32205
-55.70943, 94.32205
-55.70943, 94.32205
-55.70943, 94.32206
-55.70943, 94.32206
-55.70943, 94.32206
-55.70943, 94.32206
-55.70943, 94.32206
-55.70943, 94.32206
-55.70943, 94.32206
-55.70943, 94.32206
-55.70943, 94.32206
-55.70943, 94.32206
-55.70943, 94.32206
-55.70943, 94.32206
-55.70943, 94.32919
-55.70888, 94.42204
-55.70787, 94.53869
-55.70688, 94.65533
-55.70588, 94.77197
-55.70489, 94.8886
-55.70394, 95.0052
-55.70297, 95.12183
-55.7021, 95.23847
-55.70153, 95.35518
-55.70096, 95.47188
-55.70041, 95.58856
-55.69985, 95.70527
-55.69929, 95.82197
-55.69876, 95.9387
-55.69822, 96.05541
-55.69769, 96.1721
-55.69715, 96.28878
-55.69667, 96.39715
-55.69622, 96.4972
-55.69574, 96.59726
-55.69529, 96.6973
-55.69466, 96.79733
-55.69391, 96.89734
-55.69315, 96.99735
-55.69237, 97.09737
-55.69173, 97.19738
-55.69128, 97.29737
-55.69086, 97.39743
-55.6905, 97.49747
-55.69009, 97.59753
-55.68971, 97.69759
-55.68926, 97.79765
-55.68887, 97.89767
-55.68844, 97.99767
-55.68769, 98.09768
-55.68695, 98.19769
-55.68637, 98.2977
-55.68602, 98.39779
-55.68558, 98.49786
-55.68518, 98.59793
-55.68478, 98.698
-55.68437, 98.79807
-55.68396, 98.89816
-55.68355, 98.99824
-55.68301, 99.0983
-55.68228, 99.19831
-55.68156, 99.29832
-55.68106, 99.39835
-55.68071, 99.49836
-55.68037, 99.59839
-55.68002, 99.69845
-55.67947, 99.79846
-55.67876, 99.89841
-55.67799, 99.99844
-55.67744, 100.0984
-55.67715, 100.1985
-55.67691, 100.2985
-55.67654, 100.4069
-55.67608, 100.5235
-55.67538, 100.6402
-55.67459, 100.7569
-55.6741, 100.8735
-55.67382, 100.9902
-55.67356, 101.1069
-55.67312, 101.2235
-55.67276, 101.3402
-55.67246, 101.4569
-55.67212, 101.5736
-55.67176, 101.6902
-55.67147, 101.8068
-55.67125, 101.9235
-55.67103, 102.0401
-55.67077, 102.1568
-55.67041, 102.2734
-55.6702, 102.3901
-55.66993, 102.5067
-55.66971, 102.6234
-55.66945, 102.74
-55.66915, 102.8567
-55.66888, 102.9732
-55.66861, 103.0898
-55.66828, 103.2063
-55.66802, 103.3228
-55.66782, 103.4394
-55.66755, 103.5559
-55.66739, 103.6725
-55.66711, 103.7888
-55.6669, 103.9053
-55.66672, 104.0218
-55.66634, 104.1384
-55.66583, 104.255
-55.66561, 104.3716
-55.66553, 104.4882
-55.66545, 104.6046
-55.66539, 104.7211
-55.66523, 104.8378
-55.66484, 104.9543
-55.66444, 105.071
-55.6641, 105.1875
-55.66406, 105.3041
-55.66407, 105.4207
-55.66408, 105.5373
-55.66385, 105.6539
-55.66351, 105.7705
-55.66329, 105.8871
-55.66331, 106.0038
-55.66334, 106.1204
-55.66347, 106.2371
-55.66358, 106.3537
-55.66353, 106.4703
-55.66329, 106.5869
-55.66333, 106.7035
-55.66348, 106.8202
-55.66365, 106.9369
-55.66382, 107.0535
-55.66403, 107.1702
-55.66423, 107.2868
-55.66443, 107.4034
-55.66465, 107.52
-55.66494, 107.6366
-55.66523, 107.7531
-55.66552, 107.8698
-55.66578, 107.9865
-55.66576, 108.1031
-55.66568, 108.2198
-55.66579, 108.3365
-55.66607, 108.4531
-55.66638, 108.5697
-55.66667, 108.6864
-55.66666, 108.803
-55.66665, 108.9197
-55.66666, 109.0363
-55.66671, 109.153
-55.66697, 109.2697
-55.6674, 109.3864
-55.66771, 109.503
-55.66781, 109.6197
-55.66792, 109.7363
-55.66805, 109.853
-55.66827, 109.9697
-55.66878, 110.0864
-55.66933, 110.203
-55.66988, 110.3197
-55.6704, 110.4365
-55.67065, 110.5531
-55.67093, 110.6698
-55.67154, 110.7865
-55.67221, 110.9031
-55.67287, 111.0198
-55.67358, 111.1364
-55.67431, 111.2531
-55.67504, 111.3697
-55.67582, 111.4864
-55.67664, 111.603
-55.67747, 111.7197
-55.67834, 111.8363
-55.67922, 111.953
-55.68016, 112.0696
-55.68111, 112.1862
-55.68212, 112.3029
-55.68315, 112.4195
-55.68422, 112.5361
-55.6853, 112.6527
-55.68646, 112.7693
-55.6876, 112.886
-55.6889, 113.0026
-55.69056, 113.1193
-55.69221, 113.2359
-55.69354, 113.3526
-55.69489, 113.4692
-55.69635, 113.5858
-55.69787, 113.7025
-55.69949, 113.8192
-55.70126, 113.9358
-55.70321, 114.0525
-55.70541, 114.1692
-55.70772, 114.2787
-55.70771, 114.3859
-55.70713, 114.5026
-55.70652, 114.6193
-55.70597, 114.736
-55.70539, 114.8526
-55.70476, 114.9693
-55.70391, 115.0859
-55.70295, 115.2026
-55.70201, 115.3193
-55.7013, 115.4359
-55.70069, 115.5526
-55.70016, 115.6694
-55.69958, 115.786
-55.699, 115.9028
-55.69848, 116.0195
-55.69793, 116.1362
-55.69738, 116.253
-55.69681, 116.3697
-55.69623, 116.4864
-55.69567, 116.6031
-55.69511, 116.7199
-55.69453, 116.8366
-55.69394, 116.9534
-55.6934, 117.0701
-55.69284, 117.1869
-55.69229, 117.3036
-55.6918, 117.4203
-55.69129, 117.537
-55.69076, 117.6537
-55.69034, 117.7704
-55.68983, 117.8872
-55.6893, 118.0039
-55.68882, 118.1206
-55.68832, 118.2374
-55.68777, 118.3541
-55.68723, 118.4708
-55.68676, 118.5875
-55.68629, 118.7042
-55.68577, 118.8209
-55.68527, 118.9376
-55.68479, 119.0543
-55.68438, 119.171
-55.68386, 119.2877
-55.68341, 119.4044
-55.68283, 119.521
-55.68222, 119.6377
-55.68177, 119.7543
-55.68127, 119.871
-55.68062, 119.9876
-55.67979, 120.1042
-55.67892, 120.2208
-55.67825, 120.3374
-55.67788, 120.454
-55.67744, 120.5706
-55.67698, 120.6872
-55.67658, 120.8038
-55.67603, 120.9204
-55.67561, 121.0371
-55.67527, 121.1537
-55.67489, 121.2703
-55.67441, 121.3868
-55.67398, 121.5033
-55.67361, 121.6199
-55.67334, 121.7365
-55.67305, 121.8532
-55.67266, 121.9697
-55.67234, 122.0863
-55.67202, 122.2028
-55.67174, 122.3194
-55.67142, 122.4359
-55.67107, 122.5523
-55.67086, 122.669
-55.67064, 122.7856
-55.67039, 122.9022
-55.67019, 123.0188
-55.66996, 123.1353
-55.67002, 123.2518
-55.67026, 123.3685
-55.67041, 123.4851
-55.67026, 123.6017
-55.67004, 123.7182
-55.66983, 123.8346
-55.66968, 123.9511
-55.66955, 124.0677
-55.66943, 124.1843
-55.6693, 124.301
-55.6692, 124.4176
-55.66908, 124.5343
-55.66897, 124.651
-55.66891, 124.7676
-55.66886, 124.8842
-55.66878, 125.0009
-55.66871, 125.1176
-55.66862, 125.2343
-55.66827, 125.3509
-55.66787, 125.4675
-55.66753, 125.5842
-55.66749, 125.7008
-55.66752, 125.8174
-55.66754, 125.9341
-55.66755, 126.0508
-55.66761, 126.1675
-55.66763, 126.2842
-55.66764, 126.4009
-55.66769, 126.5175
-55.66781, 126.6341
-55.6679, 126.7508
-55.66803, 126.8674
-55.66816, 126.984
-55.6684, 127.1005
-55.6686, 127.2171
-55.66883, 127.3337
-55.66907, 127.4503
-55.66928, 127.5669
-55.66946, 127.6835
-55.66961, 127.8002
-55.66973, 127.9168
-55.66987, 128.0334
-55.67009, 128.15
-55.67026, 128.2665
-55.67048, 128.3831
-55.67071, 128.4996
-55.6709, 128.6162
-55.67112, 128.7328
-55.67136, 128.8494
-55.67163, 128.966
-55.67187, 129.0825
-55.67217, 129.1991
-55.67245, 129.3157
-55.67276, 129.4323
-55.67308, 129.5489
-55.6734, 129.6655
-55.67373, 129.7821
-55.67408, 129.8986
-55.67446, 130.0152
-55.67488, 130.1318
-55.67531, 130.2484
-55.67575, 130.365
-55.6762, 130.4816
-55.67665, 130.5982
-55.67713, 130.7148
-55.67762, 130.8314
-55.67812, 130.9481
-55.67838, 131.0647
-55.67855, 131.1814
-55.67904, 131.298
-55.67962, 131.4147
-55.68024, 131.5313
-55.68087, 131.6479
-55.68153, 131.7646
-55.68222, 131.8812
-55.68293, 131.9979
-55.68368, 132.1145
-55.68444, 132.2312
-55.68525, 132.3478
-55.6861, 132.4644
-55.68699, 132.5811
-55.68793, 132.6977
-55.68893, 132.8144
-55.68997, 132.931
-55.69108, 133.0476
-55.69224, 133.1643
-55.69338, 133.2809
-55.69458, 133.3976
-55.69589, 133.5142
-55.69746, 133.6309
-55.69927, 133.7475
-55.70091, 133.8641
-55.70254, 133.9808
-55.7044, 134.0974
-55.70655, 134.2141
-55.70788, 134.3164
-55.70729, 134.4307
-55.70667, 134.5473
-55.70604, 134.6639
-55.70544, 134.7806
-55.70483, 134.8972
-55.7042, 135.0139
-55.70358, 135.1305
-55.70295, 135.2472
-55.70203, 135.3639
-55.70111, 135.4805
-55.7002, 135.5972
