sep=;
2026-01-20_18-16-11;FilePath;TrackingSpaces/SingleSquare10m/square_10m_no_obstacle.txt;StraightLine;5;100;None;R2G;10;100;9.089005;11.16167;0;0;0;99.97906;99.97906;1;1;1;1;0;0;122.7784;0.1842816;1;0;1;0;0;0;0;0;0;0;0;(-0.6, 0.1);(19.5, 111.4);2.024572;0.1074534;

TrialId = 5;EndState = Normal
experiment_start_time;trackingSpace;trackingSpaceFilePath;pathSeedChoice;randomSeed;pathLength;redirector;resetter;reset_count;virtual_way_distance;virtual_distance_between_resets_average;time_elapsed_between_resets_average;sum_injected_translation(IN METERS);sum_injected_rotation_g_r(IN DEGREES);sum_injected_rotation_g_c(IN DEGREES);sum_real_distance_travelled(IN METERS);sum_virtual_distance_travelled(IN METERS);min_g_t;max_g_t;min_g_r;max_g_r;min_g_c;max_g_c;experiment_duration;execute_duration;g_t_average;injected_translation_average;g_r_average;injected_rotation_from_rotation_gain_average;g_c_average;injected_rotation_from_curvature_gain_average;injected_rotation_average;g_t_change_max;g_c_change_max;g_t_change_average;g_c_change_average;real_position_average;virtual_position_average;distance_to_boundary_average;average_sampling_interval;
2026-01-20_18-16-11;FilePath;TrackingSpaces/SingleSquare10m/square_10m_no_obstacle.txt;StraightLine;6;100;None;R2G;10;99.99999;9.088787;11.15258;0;0;0;99.97667;99.97667;1;1;1;1;0;0;122.6784;0.1911296;1;0;1;0;0;0;0;0;0;0;0;(-1.2, -0.1);(27.9, 79.4);1.948858;0.1074599;

TrialId = 6;EndState = Normal
experiment_start_time;trackingSpace;trackingSpaceFilePath;pathSeedChoice;randomSeed;pathLength;redirector;resetter;reset_count;virtual_way_distance;virtual_distance_between_resets_average;time_elapsed_between_resets_average;sum_injected_translation(IN METERS);sum_injected_rotation_g_r(IN DEGREES);sum_injected_rotation_g_c(IN DEGREES);sum_real_distance_travelled(IN METERS);sum_virtual_distance_travelled(IN METERS);min_g_t;max_g_t;min_g_r;max_g_r;min_g_c;max_g_c;experiment_duration;execute_duration;g_t_average;injected_translation_average;g_r_average;injected_rotation_from_rotation_gain_average;g_c_average;injected_rotation_from_curvature_gain_average;injected_rotation_average;g_t_change_max;g_c_change_max;g_t_change_average;g_c_change_average;real_position_average;virtual_position_average;distance_to_boundary_average;average_sampling_interval;
2026-01-20_18-16-11;FilePath;TrackingSpaces/SingleSquare10m/square_10m_no_obstacle.txt;StraightLine;7;100;None;R2G;11;100;8.331232;10.28571;0;0;0;99.97478;99.97478;1;1;1;1;0;0;123.4286;0.2079616;1;0;1;0;0;0;0;0;0;0;0;(-0.8, 0.2);(65.1, 58.1);2.02905;0.1074081;

TrialId = 7;EndState = Normal
experiment_start_time;trackingSpace;trackingSpaceFilePath;pathSeedChoice;randomSeed;pathLength;redirector;resetter;reset_count;virtual_way_distance;virtual_distance_between_resets_average;time_elapsed_between_resets_average;sum_injected_translation(IN METERS);sum_injected_rotation_g_r(IN DEGREES);sum_injected_rotation_g_c(IN DEGREES);sum_real_distance_travelled(IN METERS);sum_virtual_distance_travelled(IN METERS);min_g_t;max_g_t;min_g_r;max_g_r;min_g_c;max_g_c;experiment_duration;execute_duration;g_t_average;injected_translation_average;g_r_average;injected_rotation_from_rotation_gain_average;g_c_average;injected_rotation_from_curvature_gain_average;injected_rotation_average;g_t_change_max;g_c_change_max;g_t_change_average;g_c_change_average;real_position_average;virtual_position_average;distance_to_boundary_average;average_sampling_interval;
2026-01-20_18-16-11;FilePath;TrackingSpaces/SingleSquare10m/square_10m_no_obstacle.txt;StraightLine;8;100;None;R2G;10;100;9.089284;10.93284;0;0;0;99.98213;99.98213;1;1;1;1;0;0;120.2612;0.1853952;1;0;1;0;0;0;0;0;0;0;0;(-0.3, 0.0);(26.5, -29.9);2.203045;0.1076197;

TrialId = 8;EndState = Normal
experiment_start_time;trackingSpace;trackingSpaceFilePath;pathSeedChoice;randomSeed;pathLength;redirector;resetter;reset_count;virtual_way_distance;virtual_distance_between_resets_average;time_elapsed_between_resets_average;sum_injected_translation(IN METERS);sum_injected_rotation_g_r(IN DEGREES);sum_injected_rotation_g_c(IN DEGREES);sum_real_distance_travelled(IN METERS);sum_virtual_distance_travelled(IN METERS);min_g_t;max_g_t;min_g_r;max_g_r;min_g_c;max_g_c;experiment_duration;execute_duration;g_t_average;injected_translation_average;g_r_average;injected_rotation_from_rotation_gain_average;g_c_average;injected_rotation_from_curvature_gain_average;injected_rotation_average;g_t_change_max;g_c_change_max;g_t_change_average;g_c_change_average;real_position_average;virtual_position_average;distance_to_boundary_average;average_sampling_interval;
2026-01-20_18-16-11;FilePath;TrackingSpaces/SingleSquare10m/square_10m_no_obstacle.txt;StraightLine;9;100;None;R2G;10;100;9.089087;10.96163;0;0;0;99.97956;99.97956;1;1;1;1;0;0;120.5779;0.1840128;1;0;1;0;0;0;0;0;0;0;0;(-1.1, -0.1);(-40.8, 0.3);1.928815;0.1075993;

TrialId = 9;EndState = Normal
