trial,endState,user,redirector,resetCount,virtualDistance,gtChangeMax,gcChangeMax,gtChangeAvg,gcChangeAvg
64,Normal,0,PredRedLPP,8,99.9692,3.428571,2.666667,0.1685108,0.14557
65,Normal,0,PredRedLPP,8,99.97739,4,2.285714,0.1614611,0.1374792
66,Normal,0,PredRedLPP,8,99.97447,4,2.666667,0.1627397,0.1440893
67,Normal,0,PredRedLPP,8,99.9874,3.6,2.666667,0.1380865,0.1158585
68,Normal,0,PredRedLPP,7,99.97839,3.333332,2.666667,0.161693,0.1377524
69,Normal,0,PredRedLPP,8,99.98408,4,2.666667,0.1426244,0.1188709
70,Normal,0,PredRedLPP,11,99.97218,4,2.666667,0.07988136,0.04344788
71,Normal,0,PredRedLPP,7,99.98438,4,2.666667,0.1635068,0.1426211
72,Normal,0,PredRedLPP,7,99.97099,4,2.666667,0.1502793,0.1306494
73,Normal,0,PredRedLPP,11,99.99142,4,2.222222,0.08647187,0.04499072
74,Normal,0,PredRedLPP,8,99.97742,4,2.285714,0.1499699,0.1293293
75,Normal,0,PredRedLPP,8,99.98401,3.428572,2.666667,0.1693132,0.2379455
76,Normal,0,PredRedLPP,11,99.95892,4,2.666667,0.08287707,0.04662221
77,Normal,0,PredRedLPP,7,99.99205,4,2.666667,0.1576208,0.1357762
78,Normal,0,PredRedLPP,8,99.97771,2.857143,2.666667,0.1708965,0.2317823
79,Normal,0,PredRedLPP,7,99.97035,3.428572,2.666667,0.1626428,0.1431091
80,Normal,0,PredRedLPP,7,99.98257,3.428572,2.285714,0.1531279,0.128229
81,Normal,0,PredRedLPP,8,99.97742,4,2.285714,0.1598203,0.1374498
82,Normal,0,PredRedLPP,8,99.96783,4,2.666667,0.1703307,0.1526017
83,Normal,0,PredRedLPP,8,99.97592,3.428572,2.666667,0.1525578,0.1332921
84,Normal,0,PredRedLPP,8,99.9799,4,2.666667,0.1832566,0.1673924
85,Normal,0,PredRedLPP,7,99.97122,3.428571,2.666667,0.1663535,0.1504117
86,Normal,0,PredRedLPP,7,99.97961,4,2.666667,0.1553899,0.1327238
87,Normal,0,PredRedLPP,11,99.97327,4,2,0.08101403,0.03859866
88,Normal,0,PredRedLPP,8,99.97515,3.428571,2.285714,0.138899,0.1137902
89,Normal,0,PredRedLPP,8,99.97491,3.333334,2.666667,0.1589318,0.1330527
90,Normal,0,PredRedLPP,8,99.97815,3.428571,2.666667,0.1810308,0.1584107
91,Normal,0,PredRedLPP,7,99.97343,3.428572,2.666667,0.1919799,0.1731229
92,Normal,0,PredRedLPP,7,99.99174,4,2.666667,0.166328,0.147386
93,Normal,0,PredRedLPP,8,99.98479,3.428572,2.666667,0.1512543,0.1283925
94,Normal,0,PredRedLPP,8,99.96941,4,2.666667,0.1338677,0.1184802
95,Normal,0,PredRedLPP,8,99.97281,2.833334,2.666667,0.1704474,0.2275515
96,Normal,0,PredRedLPP,8,99.96857,4,2.666667,0.1519096,0.1303595
97,Normal,0,PredRedLPP,7,99.9709,3.800001,2.666667,0.1510691,0.1335729
98,Normal,0,PredRedLPP,8,99.97748,4,2.666667,0.1504351,0.1213835
99,Normal,0,PredRedLPP,11,99.96564,4,2.666667,0.08293077,0.05291007
100,Normal,0,PredRedLPP,8,99.96881,4,2,0.1482676,0.1226034
101,Normal,0,PredRedLPP,8,99.97395,4,2.666667,0.1535371,0.1264703
102,Normal,0,PredRedLPP,8,99.97295,4,2.666667,0.1533704,0.1397061
103,Normal,0,PredRedLPP,8,99.98174,3.333332,2.666667,0.1590467,0.1483826
104,Normal,0,PredRedLPP,8,99.97309,4,2.666667,0.151348,0.1259337
105,Normal,0,PredRedLPP,8,99.97577,3.428572,2.666667,0.1447842,0.123387
106,Normal,0,PredRedLPP,8,99.97975,4,2.666667,0.1486213,0.1229283
107,Normal,0,PredRedLPP,8,99.97439,4,2.666667,0.1399819,0.1173135
108,Normal,0,PredRedLPP,8,99.97324,4,2.666667,0.1643354,0.1360956
109,Normal,0,PredRedLPP,8,99.98054,4,2.285714,0.1481078,0.1592203
110,Normal,0,PredRedLPP,11,99.98029,4,2.666667,0.07943705,0.0358846
111,Normal,0,PredRedLPP,11,99.97688,4,1.777778,0.0808672,0.035824
112,Normal,0,PredRedLPP,8,99.97309,4,2.222222,0.1485784,0.1235272
113,Normal,0,PredRedLPP,8,99.97448,4,2.285714,0.143201,0.1183886
114,Normal,0,PredRedLPP,8,99.96905,4,2.666667,0.140585,0.1169438
115,Normal,0,PredRedLPP,8,99.97283,3.428572,2.666667,0.1531596,0.1316048
116,Normal,0,PredRedLPP,7,99.96851,2.857143,2.666667,0.1570601,0.1290172
117,Normal,0,PredRedLPP,8,99.97282,4,2.666667,0.1467984,0.1198028
118,Normal,0,PredRedLPP,7,99.96584,3.6,2.285714,0.1712863,0.1488003
119,Normal,0,PredRedLPP,8,99.97349,3.428572,2.285714,0.1537451,0.1264725
120,Normal,0,PredRedLPP,8,99.97617,3.533334,2.666667,0.1773764,0.163085
121,Normal,0,PredRedLPP,8,99.96843,4,2.666667,0.1429043,0.1156871
122,Normal,0,PredRedLPP,8,99.98804,4,2.666667,0.2112523,0.1837238
123,Normal,0,PredRedLPP,8,99.97714,4,2.666667,0.149505,0.1268412
124,Normal,0,PredRedLPP,11,99.98145,4,2.666667,0.08490212,0.04892414
